index,Frame,Category
2023-09-25 12:54:08,0,1.0
2023-09-25 12:54:09,30,1.0
2023-09-25 12:54:10,60,1.0
2023-09-25 12:54:11,90,1.0
2023-09-25 12:54:12,120,1.0
2023-09-25 12:54:13,150,1.0
2023-09-25 12:54:14,180,1.0
2023-09-25 12:54:15,210,1.0
2023-09-25 12:54:16,240,1.0
2023-09-25 12:54:17,270,1.0
2023-09-25 12:54:18,300,0.0
2023-09-25 12:54:19,330,0.0
2023-09-25 12:54:20,360,0.0
2023-09-25 12:54:21,390,0.0
2023-09-25 12:54:22,420,0.0
2023-09-25 12:54:23,450,1.0
2023-09-25 12:54:24,480,1.0
2023-09-25 12:54:25,510,1.0
2023-09-25 12:54:26,540,1.0
2023-09-25 12:54:27,570,1.0
2023-09-25 12:54:28,600,0.0
2023-09-25 12:54:29,630,0.0
2023-09-25 12:54:30,660,0.0
2023-09-25 12:54:31,690,0.0
2023-09-25 12:54:32,720,0.0
2023-09-25 12:54:33,750,0.0
2023-09-25 12:54:34,780,0.0
2023-09-25 12:54:35,810,0.0
2023-09-25 12:54:36,840,0.0
2023-09-25 12:54:37,870,0.0
2023-09-25 12:54:38,900,0.0
2023-09-25 12:54:39,930,0.0
2023-09-25 12:54:40,960,0.0
2023-09-25 12:54:41,990,0.0
2023-09-25 12:54:42,1020,0.0
2023-09-25 12:54:43,1050,0.0
2023-09-25 12:54:44,1080,0.0
2023-09-25 12:54:45,1110,0.0
2023-09-25 12:54:46,1140,0.0
2023-09-25 12:54:47,1170,0.0
2023-09-25 12:54:48,1200,0.0
2023-09-25 12:54:49,1230,0.0
2023-09-25 12:54:50,1260,0.0
2023-09-25 12:54:51,1290,0.0
2023-09-25 12:54:52,1320,0.0
2023-09-25 12:54:53,1350,0.0
2023-09-25 12:54:54,1380,0.0
2023-09-25 12:54:55,1410,0.0
2023-09-25 12:54:56,1440,0.0
2023-09-25 12:54:57,1470,0.0
2023-09-25 12:54:58,1500,0.0
2023-09-25 12:54:59,1530,0.0
2023-09-25 12:55:00,1560,0.0
2023-09-25 12:55:01,1590,0.0
2023-09-25 12:55:02,1620,0.0
2023-09-25 12:55:03,1650,0.0
2023-09-25 12:55:04,1680,0.0
2023-09-25 12:55:05,1710,0.0
2023-09-25 12:55:06,1740,0.0
2023-09-25 12:55:07,1770,0.0
2023-09-25 12:55:08,1800,0.0
2023-09-25 12:55:09,1830,0.0
2023-09-25 12:55:10,1860,0.0
2023-09-25 12:55:11,1890,0.0
2023-09-25 12:55:12,1920,0.0
2023-09-25 12:55:13,1950,0.0
2023-09-25 12:55:14,1980,0.0
2023-09-25 12:55:15,2010,0.0
2023-09-25 12:55:16,2040,0.0
2023-09-25 12:55:17,2070,0.0
2023-09-25 12:55:18,2100,0.0
2023-09-25 12:55:19,2130,0.0
2023-09-25 12:55:20,2160,0.0
2023-09-25 12:55:21,2190,0.0
2023-09-25 12:55:22,2220,0.0
2023-09-25 12:55:23,2250,0.0
2023-09-25 12:55:24,2280,0.0
2023-09-25 12:55:25,2310,0.0
2023-09-25 12:55:26,2340,0.0
2023-09-25 12:55:27,2370,0.0
2023-09-25 12:55:28,2400,0.0
2023-09-25 12:55:29,2430,0.0
2023-09-25 12:55:30,2460,0.0
2023-09-25 12:55:31,2490,0.0
2023-09-25 12:55:32,2520,0.0
2023-09-25 12:55:33,2550,1.0
2023-09-25 12:55:34,2580,1.0
2023-09-25 12:55:35,2610,1.0
2023-09-25 12:55:36,2640,1.0
2023-09-25 12:55:37,2670,1.0
2023-09-25 12:55:38,2700,0.0
2023-09-25 12:55:39,2730,0.0
2023-09-25 12:55:40,2760,0.0
2023-09-25 12:55:41,2790,0.0
2023-09-25 12:55:42,2820,0.0
2023-09-25 12:55:43,2850,0.0
2023-09-25 12:55:44,2880,0.0
2023-09-25 12:55:45,2910,0.0
2023-09-25 12:55:46,2940,0.0
2023-09-25 12:55:47,2970,0.0
2023-09-25 12:55:48,3000,0.0
2023-09-25 12:55:49,3030,0.0
2023-09-25 12:55:50,3060,0.0
2023-09-25 12:55:51,3090,0.0
2023-09-25 12:55:52,3120,0.0
2023-09-25 12:55:53,3150,0.0
2023-09-25 12:55:54,3180,0.0
2023-09-25 12:55:55,3210,0.0
2023-09-25 12:55:56,3240,0.0
2023-09-25 12:55:57,3270,0.0
2023-09-25 12:55:58,3300,0.0
2023-09-25 12:55:59,3330,0.0
2023-09-25 12:56:00,3360,0.0
2023-09-25 12:56:01,3390,0.0
2023-09-25 12:56:02,3420,0.0
2023-09-25 12:56:03,3450,0.0
2023-09-25 12:56:04,3480,0.0
2023-09-25 12:56:05,3510,0.0
2023-09-25 12:56:06,3540,0.0
2023-09-25 12:56:07,3570,0.0
2023-09-25 12:56:08,3600,0.0
2023-09-25 12:56:09,3630,0.0
2023-09-25 12:56:10,3660,0.0
2023-09-25 12:56:11,3690,0.0
2023-09-25 12:56:12,3720,0.0
2023-09-25 12:56:13,3750,1.0
2023-09-25 12:56:14,3780,1.0
2023-09-25 12:56:15,3810,1.0
2023-09-25 12:56:16,3840,1.0
2023-09-25 12:56:17,3870,1.0
2023-09-25 12:56:18,3900,0.0
2023-09-25 12:56:19,3930,0.0
2023-09-25 12:56:20,3960,0.0
2023-09-25 12:56:21,3990,0.0
2023-09-25 12:56:22,4020,0.0
2023-09-25 12:56:23,4050,0.0
2023-09-25 12:56:24,4080,0.0
2023-09-25 12:56:25,4110,0.0
2023-09-25 12:56:26,4140,0.0
2023-09-25 12:56:27,4170,0.0
2023-09-25 12:56:28,4200,0.0
2023-09-25 12:56:29,4230,0.0
2023-09-25 12:56:30,4260,0.0
2023-09-25 12:56:31,4290,0.0
2023-09-25 12:56:32,4320,0.0
2023-09-25 12:56:33,4350,0.0
2023-09-25 12:56:34,4380,0.0
2023-09-25 12:56:35,4410,0.0
2023-09-25 12:56:36,4440,0.0
2023-09-25 12:56:37,4470,0.0
2023-09-25 12:56:38,4500,0.0
2023-09-25 12:56:39,4530,0.0
2023-09-25 12:56:40,4560,0.0
2023-09-25 12:56:41,4590,0.0
2023-09-25 12:56:42,4620,0.0
2023-09-25 12:56:43,4650,0.0
2023-09-25 12:56:44,4680,0.0
2023-09-25 12:56:45,4710,0.0
2023-09-25 12:56:46,4740,0.0
2023-09-25 12:56:47,4770,0.0
2023-09-25 12:56:48,4800,0.0
2023-09-25 12:56:49,4830,0.0
2023-09-25 12:56:50,4860,0.0
2023-09-25 12:56:51,4890,0.0
2023-09-25 12:56:52,4920,0.0
2023-09-25 12:56:53,4950,0.0
2023-09-25 12:56:54,4980,0.0
2023-09-25 12:56:55,5010,0.0
2023-09-25 12:56:56,5040,0.0
2023-09-25 12:56:57,5070,0.0
2023-09-25 12:56:58,5100,0.0
2023-09-25 12:56:59,5130,0.0
2023-09-25 12:57:00,5160,0.0
2023-09-25 12:57:01,5190,0.0
2023-09-25 12:57:02,5220,0.0
2023-09-25 12:57:03,5250,0.0
2023-09-25 12:57:04,5280,0.0
2023-09-25 12:57:05,5310,0.0
2023-09-25 12:57:06,5340,0.0
2023-09-25 12:57:07,5370,0.0
2023-09-25 12:57:08,5400,0.0
2023-09-25 12:57:09,5430,0.0
2023-09-25 12:57:10,5460,0.0
2023-09-25 12:57:11,5490,0.0
2023-09-25 12:57:12,5520,0.0
2023-09-25 12:57:13,5550,1.0
2023-09-25 12:57:14,5580,1.0
2023-09-25 12:57:15,5610,1.0
2023-09-25 12:57:16,5640,1.0
2023-09-25 12:57:17,5670,1.0
2023-09-25 12:57:18,5700,1.0
2023-09-25 12:57:19,5730,1.0
2023-09-25 12:57:20,5760,1.0
2023-09-25 12:57:21,5790,1.0
2023-09-25 12:57:22,5820,1.0
2023-09-25 12:57:23,5850,1.0
2023-09-25 12:57:24,5880,1.0
2023-09-25 12:57:25,5910,1.0
2023-09-25 12:57:26,5940,1.0
2023-09-25 12:57:27,5970,1.0
2023-09-25 12:57:28,6000,1.0
2023-09-25 12:57:29,6030,1.0
2023-09-25 12:57:30,6060,1.0
2023-09-25 12:57:31,6090,1.0
2023-09-25 12:57:32,6120,1.0
